,Phone,The attraction,address
0," 081-163-5774,095-457-5725",บ้านแม่กำปอง,"ชม. 4074, Huai Kaeo, Mae On, Chiang Mai, 50130, Thailand เชียงใหม่ (ถนนทางหลวงชนบท ชม.4074)"
1, 081-806-3993,ม่อนแจ่ม,ถนนสาย 1096 น้ำตกแม่สา เชียงใหม่ (ตั้งอยู่ห่างจากตัวเมือง เชียงใหม่ใช้เวลาเดินทางประมาณ 40 นาที)
2, 05-326-3001,วัดพระธาตุดอยคำ (วัดสุวรรณบรรพต),ถนนหมู่บ้านเชียงใหม่เลคแลนด์ เชียงใหม่ (เข้าทางถนนเลียบคลองชลประทาน แยกจากถนนเชิงดอยบริเวณตลาดต้นพะยอมไปทางทิศใต้ประมาณ 6 กิโลเมตร วัดพระธาตุดอยคำจะอยู่ด้านขวา)
3, 05-329-5000,วัดพระธาตุดอยสุเทพราชวรวิหาร,"สุเทพ, เชียงใหม่, จ.เชียงใหม่, 50200, ประเทศไทย เชียงใหม่ (จาก อ. เมืองเชียงใหม่ เดินทางโดยรถยนต์ไปตามถนนห้วยแก้ว-มหาวิทยาลัยเชียงใหม่ผ่านสวนสัตว์เชียงใหม่ และผ่านอนุสาวรีย์ครูบาศรีวิชัย)"
4, 05-208-0900,One Nimman,ถนน นิมมานเหมินทร์ เชียงใหม่ (แยกรินคำ)
5, 05-328-6729,อุทยานแห่งชาติดอยอินทนนท์,ถนน บ้านหลวง ซอย 2 เชียงใหม่ (แยกขวาเข้าทางหลวงหมายเลข 1009 สายจอมทอง-อินทนนท์ ระยะทาง 48 กิโลเมตรถึงยอดดอยอินทนนท์)
6," 05-381-1100,085-033-3809",วัดอุโมงค์ (วัดสวนพุทธธรรม),135 หมู่ที่ 10 ซอย บ้านใหม่หลังมอ เชียงใหม่ (ผ่านสี่แยกคลองชลประทานด้านหลังม.เชียงใหม่ ประมาณ 500 เมตร เข้าซอยทางด้านซ้ายมือไปอีกประมาณ 2 กิโลเมตร)
7, 05-384-1234,สวนพฤกษศาสตร์สมเด็จพระนางเจ้าสิริกิติ์,ทางหลวงหมายเลข 1096 เชียงใหม่ (อยู่ในพื้นที่ตำบลแม่แรม อำเภอแม่ริม จังหวัดเชียงใหม่ บริเวณชายเขตอุทยานแห่งชาติดอยสุเทพ-ปุย ทางเข้าอยู่ด้านซ้ายมือบริเวณหลักกิโลเมตรที่ 12 สายแม่ริม-สะเมิง)
8, ,ดอยหลวงเชียงดาว,ถนน ธงชัย เชียงใหม่ (ใช้เส้นทางหลวงหมายเลข 107 ระยะทางประมาณ 72 กิโลเมตร ถึงทางแยกไปบ้านถ้ำ (เชียงดาว) บริเวณตัวอำเภอเชียงดาวเข้าสู่ ที่ทำการเขตรักษาพันธุ์สัตว์ป่าเชียงดาวระยะทางประมาณ 7 กิโลเมตร)
9, ,บ้านข้างวัด,191-197 5 ถนน คำหยาดฟ้า เชียงใหม่ (ม.5 ซ.วัดอุโมงค์ และวัดร่ำเปิง ถ.คลองชลประทาน ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่)
10, 053-106-327,Pongyang Jungle Coaster Zipline Camp&Resort,ถนน ทางหลวงแผ่นดิน หมายเลข 4051 เชียงใหม่
11," 05-328-6730,05-328-6728",เส้นทางศึกษาธรรมชาติกิ่วแม่ปาน,ทางหลวงแผ่นดินหมายเลข 1009 เชียงใหม่ (อยู่บริเวณกิโลเมตรที่ 43 ของถนนสายจอมทอง – ยอดดอยอินทนนท์ ใกล้กับพระมหาธาตุนภเมทนีดล และพระมหาธาตุนภพลภูมิสิริ)
12," 05-324-8604,063-241-1987",วัดเด่นสะหลีศรีเมืองแกน (วัดบ้านเด่น),ถนน เชียงใหม่-ฝาง เชียงใหม่ (ให้ใช้เส้นทางหลวงหมายเลข 107 เชียงใหม่ – ฝาง ผ่านสามแยกแม่มาลัย อำเภอแม่แตง จากนั้นให้สังเกตป้ายทางเข้าเขื่อนแม่งัดสมบูรณ์ชลทางด้านขวามือ เลี้ยวขวา จะเจอซุ้มยินดีต้อนรับสู่เทศบาลเมืองแกนให้เลี้ยวซ้ายตามป้ายไปวัดบ้านเด่น ไปสัก 1 กิโลเมตร)
13, 05-396-9476,ดอยอ่างขาง,ทางหลวงหมายเลข 1249 เชียงใหม่ (มาจาก จ.เชียงใหม่โดยใช้ทางหลวง 107 จนถึง อ.เชียงดาว เลี้ยวซ้ายที่แยกเมืองงายเชื่อมกับทางหลวงหมายเลข1178 ขึ้นอ่างขาง ได้ตามปกติ)
14, 05-341-6027,วัดพระสิงห์,2 ถนน สามล้าน เชียงใหม่ (วัดพระสิงห์จะตั้งอยู่บริเวณคูเมืองด้านในบริเวณ ถนนสิงหราชจรดกับถนนราชดำเนิน)
15, ,บ้านป่าบงเปียง,197 หมู่13 ทางหลวงหมายเลข 1192 เชียงใหม่ (จากจุดตรวจที่ 2 ดอยอินทนนท์ ให้เลี้ยวซ้ายที่แยกแรก แล้วตรงมาเรื่อย ๆ เพื่อมุ่งสู่น้ำตกห้วยทรายเหลือง)
16, ,ประตูท่าแพ,ถนน มูลเมือง เชียงใหม่
17, 05-312-1119,ห้วยตึงเฒ่า (คิงคองยักษ์),283 ม.3 ทางหลวงหมายเลข 121 เชียงใหม่ (การเดินทางจากตัวเมือง มาตามถนนเลียบคลองชลประทานไปทางอำเภอแม่ริม ผ่านสนามกีฬาสมโภชเชียงใหม่ 700 ปี-โรงเรียนนวมินทร์ฯ– กรมทางหลวง– สถานีพัฒนาที่ดินเชียงใหม่ และจะเห็นสะพานสีขาวขวามือก็ให้เลี้ยวซ้ายข้ามสะพานคลองชลประทาน เข้าสู่อ่างเก็บน้ำห้วยตึงเฒ่า)
18, ,ถนนคนเดินท่าแพ,ถนน คนเดินท่าแพ เชียงใหม่ (เริ่มจากประตูท่าแพ ยาวออกไปทางถนนราชดำเนิน จนถึงวัดพระสิงห์)
19, 081-163-3765,ไร่ชาลุงเดช,ทางหลวงชนบทเชียงใหม่ 3052 เชียงใหม่ (เส้นทางเชียงใหม่-ปาย ให้มุ่งหน้าไปทางอ.แม่แตง เมื่อถึงสี่แยกทางเลี่ยงเมืองแม่มาลัย-ปาย ให้เลี้ยวซ้าย เพื่อเข้าสู่ถนนหมายเลข 1095 ขับตามทางไปเรื่อย ๆ จนถึงวัดสบเปิง จากนั้นเลี้ยวขวาเข้าสู่ถนนหมายเลข 3052)
