,authors,cite_by,description,publication_date,tittle
0,"Sandhya Babel, Tonni Agustiono Kurniawan",4013,"In this article, the technical feasibility of various low-cost adsorbents for heavy metal removal from contaminated water has been reviewed. Instead of using commercial activated carbon, researchers have worked on inexpensive materials, such as chitosan, zeolites, and other adsorbents, which have high adsorption capacity and are locally available. The results of their removal performance are compared to that of activated carbon and are presented in this study. It is evident from our literature survey of about 100 papers that low-cost adsorbents have demonstrated outstanding removal capabilities for certain metal ions as compared to activated carbon. Adsorbents that stand out for high adsorption capacities are chitosan (815, 273, 250 mg/g of Hg2+, Cr6+, and Cd2+, respectively), zeolites (175 and 137 mg/g of Pb2+ and Cd2+, respectively), waste slurry (1030, 560, 540 mg/g of Pb2+, Hg2+, and Cr6+, respectively …",2003/2/28,Low-cost adsorbents for heavy metals uptake from contaminated water: a review
1,"Tonni Agustiono Kurniawan, Gilbert YS Chan, Wai-Hung Lo, Sandhya Babel",1973,"This article reviews the technical applicability of various physico–chemical treatments for the removal of heavy metals such as Cd(II), Cr(III), Cr(VI), Cu(II), Ni(II) and Zn(II) from contaminated wastewater. A particular focus is given to chemical precipitation, coagulation–flocculation, flotation, ion exchange and membrane filtration. Their advantages and limitations in application are evaluated. Their operating conditions such as pH, dose required, initial metal concentration and treatment performance are presented. About 124 published studies (1980–2006) are reviewed. It is evident from the survey that ion exchange and membrane filtration are the most frequently studied and widely applied for the treatment of metal-contaminated wastewater. Ion exchange has achieved a complete removal of Cd(II), Cr(III), Cu(II), Ni(II) and Zn(II) with an initial concentration of 100 mg/L, respectively. The results are comparable to that of …",2006/5/1,Physico–chemical treatment techniques for wastewater laden with heavy metals
2,"Sandhya Babel, Tonni Agustiono Kurniawan",948,"In this study, the technical feasibility of coconut shell charcoal (CSC) and commercial activated carbon (CAC) for Cr(VI) removal is investigated in batch studies using synthetic electroplating wastewater. Both granular adsorbents are made up of coconut shell (Cocos nucifera L.), an agricultural waste from local coconut industries. Surface modifications of CSC and CAC with chitosan and/or oxidizing agents, such as sulfuric acid and nitric acid, respectively, are also conducted to improve removal performance. The results of their Cr removal performances are statistically compared. It is evident that adsorbents chemically modified with an oxidizing agent demonstrate better Cr(VI) removal capabilities than as-received adsorbents in terms of adsorption rate. Both CSC and CAC, which have been oxidized with nitric acid, have higher Cr adsorption capacities (CSC: 10.88, CAC: 15.47 mg g−1) than those oxidized with …",2004/2/1,Cr (VI) removal from synthetic wastewater using coconut shell charcoal and commercial activated carbon modified with oxidizing agents and/or chitosan
3,"Tonni Agustiono Kurniawan, Gilbert YS Chan, Wai-hung Lo, Sandhya Babel",804,"In this article, the removal performance and cost-effectiveness of various low-cost adsorbents derived from agricultural waste, industrial by-product or natural material are evaluated and compared to those of activated carbon for the removal of heavy metals (Cd(II), Cr(III), Cr(VI), Cu(II), Ni(II) and Zn(II)) from metals-contaminated wastewater. To highlight their technical applicability, selected information on pH, dose required, initial metal concentration, adsorption capacity and the price of the adsorbents is presented. It is evident from the survey of 102 published studies (1984–2005) that low cost adsorbents derived from agricultural waste have demonstrated outstanding capabilities for the removal of heavy metal (Cr(VI): 170 mg/g of hazelnut shell activated carbon, Ni(II): 158 mg/g of orange peel, Cu(II): 154.9 mg/g of soybean hull treated with NaOH and citric acid, Cd(II): 52.08 mg/g of jackfruit), compared to activated …",2006/8/1,Comparisons of low-cost adsorbents for treating wastewaters laden with heavy metals
4,"Zümriye Aksu, Sevilay Tezer",584,"The biosorption of Remazol Black B, a vinyl sulphone type reactive dye, from aqueous solutions on dried Rhizopus arrhizus was studied in a batch system with respect to the temperature, initial pH and initial dye concentration. The fungal biomass exhibited the highest dye uptake capacity at 35°C, at the initial pH value of 2.0 and at the initial dye concentration of 800 mg l−1. The Freundlich and Langmuir adsorption models were used for the mathematical description of the biosorption equilibrium and isotherm constants were evaluated at different temperatures. Equilibrium data fitted very well to the Freundlich model in the studied concentration (20–800 mg l−1) and temperature (25–55°C) ranges. The pseudo first- and second-order kinetic models were also applied to the experimental data assuming that the external mas transfer limitations in the system can be neglected and biosorption is chemisorption controlled …",2000/12/1,Equilibrium and kinetic modelling of biosorption of Remazol Black B by Rhizopus arrhizus in a batch system: effect of temperature
5,"Sandhya Babel, Dominica del Mundo Dacera",340,"In recent years, various methods for heavy metal removal from sewage sludge have been extensively studied in order to minimize the prospective health risks of sludge during land application. In this paper, a comparative review and critical analysis of the application of chemical extraction, bioleaching, electroreclamation, and supercritical fluid extraction (SFE), in removing heavy metals from contaminated sludges is presented. Moreover, speciation studies, which can indicate ease of leachability of the different forms of heavy metals in sludge, are also presented. Experimental studies revealed a broad range in metal extraction efficiencies of the different extraction technologies. Acid treatment seemed to effectively remove Cd, attaining as much as 100% removal for some studies, as compared to bioleaching. SFE also gave higher removal efficiency than bioleaching. Cr, Pb and Ni seemed to be also effectively …",2006/1/1,Heavy metal removal from contaminated sludge for land application: a review
6,"Sandhya Babel, Satoshi Takizawa",169,"This study was carried out to investigate the membrane fouling phenomena due to algal deposition and to understand the nature of the cake deposited on the membrane while treating the algae-laden water by membrane filtration. To accomplish this, batch experiments in dead end mode were carried out using Chlorella algae to investigate the effect of feed concentration and transmembrane pressure (TMP) on cake resistance using cellulose ester and polyvinylidene difluoride (PVDF) membranes. It was found that algae can cause significant fouling of both the cellulose ester and PVDF membranes. Fouling due to algae is quite complex because these cells release extracellular organic matter (EOM) which significantly increases the resistance. The cake resistance offered by the Chlorella algae was independent of the membrane materials considered; thus the interaction between the membrane material and …",2010/10/15,Microfiltration membrane fouling and cake behavior during algal filtration
7,"UG Yasantha Abeysundara, Sandhya Babel, Shabbir Gheewala",152,"This paper presents a matrix to select sustainable materials for buildings in Sri Lanka, taking into consideration environmental, economic and social assessments of materials in a life cycle perspective. Five building elements, viz., foundations, roofs, ceilings, doors and windows, and floors are analyzed based on materials used for these elements. Environmental burdens associated with these elements are analyzed in terms of embodied energy and environmental impacts such as global warming, acidification and nutrient enrichment. Economic analysis is based on market prices and affordability of materials. Social factors that are taken into account are thermal comfort, interior (aesthetics), ability to construct quickly, strength and durability. By compiling the results of analyses, two building types with minimum and maximum impacts are identified. These two cases along with existing buildings are compared in a matrix …",2009/5/1,A matrix in life cycle perspective for selecting sustainable materials for buildings in Sri Lanka
8,"Sandhya Babel, Kensuke Fukushi, Bunpot Sitanrassamee",143,"Laboratory scale experiments were carried out to evaluate and determine the suitable working conditions for the enhancement of volatile fatty acids (VFAs) production with the stabilization of solid pineapple waste (peel) simultaneously when operating two-phase anaerobic digestion. It was found that acid production, enhanced when the digester was operated at neutral pH. VFAs, could be obtained at about 50 g/kg-waste within 14 days when operating at pH 6.5–7.5 compared to 33 g/kg-waste for digester operated at pH 5.0–6.0 for 32 days. The total volatile solid reduction of 42–48% was obtained with a 51–57% volume reduction at neutral pH. The effect of undissociated acids on the activity of acetogenic bacteria was also studied. The inhibitory level of undissociated acids for acidogenesis was found to be about 2300, 650, and 120 mg/L at pH 5, 6, and 7, respectively. The results revealed that at low pH …",2004/5/1,Effect of acid speciation on solid waste liquefaction in an anaerobic acid digester
9,"Sandhya Babel, Satoshi Takizawa, Hiroaki Ozaki",113,"A seasonal fluctuation pattern was observed in membrane filtration resistance by Chlorella algae cultured in open ponds in the tropical environment. In order to investigate the causes of this phenomenon, Chlorella was cultivated under controlled conditions and the cake resistance was measured by batch filtration in dead-end mode. The filtration resistance was found to be a function of environmental conditions. Algae could grow favourably and offered low specific cake resistance (Rcs) on the order of 1011 m/g for the culture temperature from 28°C to 35°C. The algal growth was inhibited and the specific cake resistance increased to the order of 1012 m/g below or above this optimum temperature range. Strong solar radiation, coupled with high temperatures, also inhibited the growth of algae and resulted in higher specific cake resistance. The specific cake resistance of algae cultured at different temperatures …",2002/3/1,Factors affecting seasonal variation of membrane filtration resistance caused by Chlorella algae
